Station,GPS
Boucicaut,"48.84109405724891, 2.287945766487378"
Bourse,"48.86865415183625, 2.3413760511435733"
Bir-Hakeim,"48.85394260621378, 2.2893345327788075"
Argentine,"48.87533684211653, 2.2901275088247015"
Daumesnil,"48.83954964556868, 2.3957032894363937"
Église d'Auteuil,"48.84715005481051, 2.26913587274288"
George V,"48.872023810399725, 2.3005604512367213"
Franklin D. Roosevelt,"48.86869984735294, 2.309505157337887"
Europe,"48.878770367587585, 2.3222652131305974"
Jacques Bonsergent,"48.87039638922484, 2.3614002104327776"
Jussieu,"48.846151122181325, 2.354917983707404"
Miromesnil,"48.873733165607064, 2.314743542030632"
Liberté,"48.826620065463494, 2.4058519439819017"
Louise Michel,"48.88870601977514, 2.2880836330485037"
Parmentier,"48.86525378605433, 2.3745819699964126"
Père Lachaise,"48.86218374787729, 2.3878359564536575"
Nationale,"48.83321671970985, 2.362856399519012"
Place des Fêtes,"48.8768063892129, 2.3930560919606623"
Place Monge,"48.84286683068267, 2.352224728183084"
Opéra,"48.87048333292661, 2.3311863468516525"
Plaisance,"48.83182565048563, 2.3141223234590225"
Porte de Choisy,"48.81987622105712, 2.364531953109201"
Saint-Paul,"48.85523625280238, 2.360956490023829"
Sentier,"48.86751302499845, 2.346552336353212"
Porte de Saint-Ouen,"48.897374796428764, 2.3289428127683025"
Porte des Lilas,"48.87717481930548, 2.406480156998486"
Porte d'Italie,"48.81922334960906, 2.35970521674602"
Pyramides,"48.86590673959417, 2.3341895419682497"
Rennes,"48.84845784944872, 2.3277821284985807"
République,"48.86799910892294, 2.3650748610827645"
Robespierre,"48.855726428633155, 2.4229832161458753"
Saint-Denis - Université,"48.94586727214251, 2.3646364825042263"
Volontaires,"48.84150552236008, 2.3079486779742893"
Vavin,"48.84221841361353, 2.329008926235403"
Les Agnettes,"48.92310377966602, 2.2862795775297826"
Trocadéro,"48.863610937645674, 2.2875801625296517"
Porte de Clignancourt,"48.897402222898094, 2.344847748752399"
Louis Blanc,"48.88094656356074, 2.3649934724001813"
Maisons-Alfort - Stade,"48.809144361835415, 2.4345098959239406"
Riquet,"48.88796756174982, 2.3734568878525493"
Saint-Ambroise,"48.86147646373029, 2.373943508245182"
Pont de Levallois - Bécon,"48.8971540959649, 2.280413812210846"
La Courneuve - 8 Mai 1945,"48.92078596906289, 2.410598616469426"
Porte de Vanves,"48.82741485955381, 2.306635926501743"
Porte de Versailles,"48.83187246749725, 2.287207137822909"
Porte de Vincennes,"48.847393890496086, 2.40965605640417"
Bercy,"48.84038874809587, 2.3799112714543984"
Edgar Quinet,"48.84066322929957, 2.3263846107928465"
Pont Cardinet,"48.88956082831538, 2.3151768973047844"
Mairie de Saint-Ouen,"48.91320209515785, 2.334663150119759"
Javel - André Citroën,"48.846157204832465, 2.278400386366102"
Saint-Lazare,"48.87567210708072, 2.3278422352596215"
Anvers,"48.882972767827276, 2.3446670737483"
Courcelles,"48.87932978868225, 2.3040703912187603"
Châtelet,"48.859589655582816, 2.346478183587595"
Chaussée d'Antin - La Fayette,"48.873252746484354, 2.3339466825286297"
Bastille,"48.852009030520556, 2.36867458439179"
École Militaire,"48.85489056687858, 2.3064034857365168"
Blanche,"48.88355629016869, 2.3333796724221587"
Strasbourg - Saint-Denis,"48.86940219665552, 2.3538187935928794"
Barbara,"48.80970399753329, 2.3174491879233723"
Olympiades,"48.82727083601133, 2.3680326484142777"
Gare de Lyon,"48.843772576851464, 2.3739164698064985"
Gare du Nord,"48.88077520479297, 2.3587329590878596"
La Muette,"48.85804605538448, 2.274154629736559"
Denfert-Rochereau,"48.83307317062929, 2.333203670349575"
Saint-Michel,"48.85353290071982, 2.3452883321974305"
Nation,"48.84894464506383, 2.3958794351856887"
La Défense,"48.89218707644951, 2.237018056395014"
Alma - Marceau,"48.86476684497177, 2.3009910034955845"
Corvisart,"48.82979051369297, 2.350414872010464"
Couronnes,"48.8690911620257, 2.380542586000037"
Cour Saint-Émilion,"48.83333855925167, 2.386632402066985"
Duroc,"48.84705255542817, 2.3164243520508925"
Colonel Fabien,"48.87761018741785, 2.370811395312745"
Concorde,"48.86616711494919, 2.323175680856618"
Gaîté,"48.838631646237154, 2.322491748462238"
Gambetta,"48.86516343488149, 2.3987465934425916"
Étienne Marcel,"48.863972478817246, 2.3496175641598405"
Félix Faure,"48.84274677979288, 2.2919124133178745"
Filles du Calvaire,"48.8632579449589, 2.3666610933534518"
Jaurès,"48.88246524557207, 2.370157961739611"
Marcel Sembat,"48.83362878105417, 2.2435786287393302"
Michel-Ange - Auteuil,"48.84793480789207, 2.2642187756877292"
Madeleine,"48.87066702089795, 2.3257526352867255"
Mairie des Lilas,"48.87976125309794, 2.416479643681515"
Pasteur,"48.84267681998372, 2.3128127748369023"
Pelleport,"48.86844016327547, 2.401561712742542"
Place de Clichy,"48.8838045280338, 2.3272434105874065"
Place d'Italie,"48.830972672988366, 2.3555802740779104"
Saint-Placide,"48.84687823885142, 2.3267927850276813"
Simplon,"48.894343848842425, 2.347430779960205"
Solférino,"48.85849912371638, 2.323167611246745"
Temple,"48.866514461743, 2.3608035032752688"
Porte de Pantin,"48.88841747876783, 2.3917844509634323"
Saint-Jacques,"48.83290081566025, 2.3371351933439004"
Mairie de Montrouge,"48.818676409912605, 2.3197403132985555"
Abbesses,"48.884594208027806, 2.3379497756920697"
Bobigny - Pantin - Raymond Queneau,"48.89545467305272, 2.4253268901662555"
Garibaldi,"48.906094050248626, 2.3318308379624098"
Saint-Sulpice,"48.851071370372, 2.3307007099542143"
Saint-Mandé,"48.846423077287035, 2.4187597866986716"
Mabillon,"48.8530167679172, 2.335502051727558"
Philippe Auguste,"48.85806226176241, 2.3908609523236084"
Voltaire,"48.85787849486676, 2.3800206442479825"
Balard,"48.83612298019267, 2.2781191783109924"
Gare d'Austerlitz,"48.842528027683585, 2.3654333833527597"
Porte de Clichy,"48.8946243340091, 2.3142338462894254"
Belleville,"48.87228310892801, 2.37673072170184"
Croix de Chavaux,"48.85778351458649, 2.434538451473474"
Cadet,"48.87600859381197, 2.3445724820893283"
Convention,"48.837099428223645, 2.296231386803389"
Laumière,"48.884970562766206, 2.3787169232246455"
Grands Boulevards,"48.87125654594185, 2.34456106066273"
Basilique de Saint-Denis,"48.93677678991262, 2.3593662963605984"
Chemin Vert,"48.85710325815475, 2.368184114950699"
La Chapelle,"48.8843996770653, 2.360399500808732"
Pigalle,"48.88222543392857, 2.3382334685046176"
Exelmans,"48.84241277035873, 2.259608472752572"
Villiers,"48.881094427166275, 2.3147210047461946"
Porte Maillot,"48.87793813782425, 2.283913993903496"
Porte de Champerret,"48.88597054515737, 2.2921354803495397"
Les Halles,"48.86251523497548, 2.345785860039181"
Saint-Ouen,"48.9045663899011, 2.3226263683342268"
Boulogne - Pont de Saint-Cloud,"48.84074501612618, 2.2285369814916316"
Alésia,"48.82818847631351, 2.3271646496078247"
Arts et Métiers,"48.86532271167806, 2.356729869173701"
Dugommier,"48.83904114371398, 2.389620014061439"
Brochant,"48.89058718661181, 2.320174757151551"
Buttes Chaumont,"48.87851411402383, 2.3816145119289653"
Cambronne,"48.84750708199681, 2.302968297817314"
Carrefour Pleyel,"48.91900755521728, 2.3426080144231554"
Commerce,"48.84479476371181, 2.293951963648718"
Goncourt,"48.86995751270301, 2.3710948397312004"
Gabriel Péri,"48.916382309922106, 2.2946851117025546"
Falguière,"48.84447014129587, 2.317852783041332"
La Fourche,"48.88718394686579, 2.3257796748068915"
Le Peletier,"48.87497174554318, 2.34057598204372"
Les Gobelins,"48.83593030287887, 2.3525422662627022"
Mairie d'Ivry,"48.81052080428471, 2.384289600960821"
Passy,"48.85744869007581, 2.2858124441464076"
Notre-Dame-de-Lorette,"48.876047496005405, 2.337495844533765"
Porte de Montreuil,"48.853772788014886, 2.4118948370564355"
Télégraphe,"48.87547445667917, 2.398867596625601"
Porte de Saint-Cloud,"48.83796121443632, 2.2571222298326203"
Porte d'Ivry,"48.82135578381409, 2.3692905873460295"
Pyrénées,"48.87388185415816, 2.385316215101792"
Quai de la Gare,"48.83704512015793, 2.3728257245425723"
Saint-Denis - Porte de Paris,"48.929935889678696, 2.3560357941727967"
Wagram,"48.88380920123339, 2.304674440528396"
Vaugirard,"48.839516585402485, 2.3011075162423964"
Les Courtilles,"48.93075700423553, 2.284174448270923"
Porte d'Orléans,"48.823151633128084, 2.325509577822384"
Gare de l'Est,"48.87612635294891, 2.358047505360746"
Kléber,"48.87126214446096, 2.2932406499473137"
Ménilmontant,"48.866446806067, 2.383599109573657"
Montgallet,"48.84406559730793, 2.390482133980388"
Mairie de Montreuil,"48.86229941281971, 2.4415218094110314"
Porte de Bagnolet,"48.86460037337562, 2.408031037075815"
Ternes,"48.87797270141956, 2.2983103737615287"
Rue du Bac,"48.85519632481491, 2.325815566511529"
Villejuif - Léo Lagrange,"48.80468812091137, 2.3639531966021656"
Corentin Celton,"48.82708544889644, 2.2794116820504207"
Lourmel,"48.83873485883676, 2.2821433781708915"
Mairie d'Issy,"48.82430937109403, 2.2736655574997546"
Porte d'Auteuil,"48.847971541497, 2.257744680363203"
Porte Dorée,"48.83478515808142, 2.4053832106267716"
Quai de la Rapée,"48.8464846505702, 2.36591010685298"
Porte de Charenton,"48.83199308710852, 2.398350103858007"
Invalides,"48.86038127919816, 2.3148907300588806"
Château-Landon,"48.87844430039445, 2.3619653022299603"
Crimée,"48.890906449558166, 2.377090439088876"
Charenton - Écoles,"48.821897939434606, 2.413132938342708"
Pointe du Lac,"48.76881073420608, 2.464280070543357"
